,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile
150,FI,H05K,4.0,0.13333333333333333,0.13333333333333333,0.0,0.035971223021582725,4.0,0.13333333333333333,0.13333333333333333,0.0,0.035971223021582725,1,31,8
151,FI,H04M,7.0,0.056,0.056,0.0,0.009363295870518921,7.0,0.056,0.056,0.0,0.009363295870518921,1,126,4
152,FI,B29C,0.0,0.0,0.0,0.0,0.018868248383103928,0.0,0.0,0.0,0.0,0.018868248383103928,1,17,2
153,FI,H01G,1.0,0.5,0.5,0.0,0.45454523413439907,1.0,0.5,0.5,0.0,0.45454523413439907,1,3,6
154,FI,H04S,0.0,0.0,0.0,0.0,0.021276691663326974,0.0,0.0,0.0,0.0,0.021276691663326974,1,11,1
155,FI,A61K,3.0,0.03571428571428571,0.03571428571428571,0.0,0.012345679012345675,3.0,0.03571428571428571,0.03571428571428571,0.0,0.012345679012345677,1,85,2
156,FI,E03C,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,10
157,FI,B60P,0.0,0.0,0.0,0.0,0.08333378072575998,0.0,0.0,0.0,0.0,0.08333378072575998,1,4,5
158,FI,H01J,1.0,0.16666666666666666,0.16666666666666666,0.0,0.16129028150806937,1.0,0.16666666666666666,0.16666666666666666,0.0,0.16129028150806937,1,7,4
159,FI,H02G,0.0,0.0,0.0,0.0,0.06250047999999998,0.0,0.0,0.0,0.0,0.06250047999999998,1,4,6
160,FI,C09D,4.0,0.4,0.48999999999999994,0.0,0.08800601338074414,4.0,0.4,0.48999999999999994,0.0,0.08800601338074414,1,11,3
161,FI,G06Q,4.0,0.06896551724137931,0.06896551724137931,0.0,0.01930495554430864,4.0,0.06896551724137931,0.06896551724137931,0.0,0.01930495554430864,1,59,4
162,FI,H04N,0.0,0.0,0.0,0.0,0.003508771929825899,0.0,0.0,0.0,0.0,0.003508771929825899,1,69,2
163,FI,H02J,0.0,0.0,0.0,0.0,0.02272782806933033,0.0,0.0,0.0,0.0,0.02272782806933033,1,16,5
164,FI,A01N,0.0,0.0,0.0,0.0,0.032258310951583574,0.0,0.0,0.0,0.0,0.032258310951583574,1,7,10
165,FI,C22B,3.0,0.10344827586206896,0.1839080459770115,0.027093596059113302,0.036071854953860116,3.0,0.10344827586206896,0.1839080459770115,0.027093596059113302,0.036071854953860116,1,30,1
166,FI,G01V,2.0,0.3333333333333333,0.3333333333333333,0.0,0.14285714285714285,1.0,0.16666666666666666,0.2222222222222222,0.0,0.11111181907127615,2,7,2
167,FI,G01N,2.0,0.015037593984962405,0.016917293233082706,0.0,0.007047479953148578,2.0,0.015037593984962405,0.016917293233082706,0.0,0.007047479953148578,1,134,5
168,FI,C12N,2.0,0.03636363636363636,0.03636363636363636,0.0,0.011194029850746273,2.0,0.03636363636363636,0.03636363636363636,0.0,0.011194029850746273,2,56,3
169,FI,G05B,0.0,0.0,0.0,0.0,0.023809728331775998,0.0,0.0,0.0,0.0,0.023809728331775998,1,10,8
170,FI,C08F,3.0,0.07894736842105263,0.20723684210526316,0.0,0.023061088090047744,3.0,0.07894736842105263,0.20723684210526316,0.0,0.023061088090047744,1,39,1
171,FI,D21F,5.0,0.05319148936170213,0.05319148936170213,0.001601464195836193,0.022797492251434265,5.0,0.05319148936170213,0.05319148936170213,0.001601464195836193,0.022797492251434265,1,95,4
172,FI,D21D,1.0,0.06666666666666667,0.26666666666666666,0.0,0.02795070885320211,1.0,0.06666666666666667,0.26666666666666666,0.0,0.02795070885320211,1,16,6
173,FI,C07K,0.0,0.0,0.0,0.0,0.005102040816327125,0.0,0.0,0.0,0.0,0.005102040816327125,1,44,1
174,FI,A61M,0.0,0.0,0.0,0.0,0.027778150604799993,0.0,0.0,0.0,0.0,0.027778150604799993,1,12,1
175,FI,G06K,0.0,0.0,0.0,0.0,0.004975124408939524,0.0,0.0,0.0,0.0,0.004975124408939524,1,45,7
176,FI,G02B,0.0,0.0,0.0,0.0,0.010309278350516135,0.0,0.0,0.0,0.0,0.010309278350516135,1,25,6
177,FI,C23C,5.0,0.2272727272727273,0.275,0.0735930735930736,0.0742105811341083,5.0,0.2272727272727273,0.275,0.0735930735930736,0.0742105811341083,1,23,5
178,FI,C07D,4.0,0.09523809523809523,0.0992063492063492,0.0,0.02538032798335004,4.0,0.09523809523809523,0.0992063492063492,0.0,0.02538032798335004,1,43,4
